Название,Текст,Дата,Просмотры,Ссылка
Бюджет требует жертв: россиян ждет очередное увеличение налогового бремени,"Минфин в проекте бюджета на 2026 год предложил повысить целый ряд налогов, ключевым из которых является НДС, поскольку он дает самый большой приток средств в казну. Инициатива означает рост цен почти на все.",сегодня 11:11,203,/novosti/ekonomika/Bjudzhet_trebuet_zhertv_rossijan_zhdet_ocherednoe_uvelichenie_nalogovogo_bremeni/109057
Архангельск уступит место Пятигорску на ходовой 500-рублевой купюре,"Банк России намерен обновить банкноту номиналом 500 рублей. На смену видам Архангельска, которые сегодня украшают «пятисотку», придут достопримечательности Кавказа.",23.09.25 15:56,695,/novosti/ekonomika/Arhangelsk_ustupit_mesto_Pjatigorsku_na_hodovoj_500_rublevoj_kupjure_/109044
Крупный современный логистический центр Wildberries появится в Архангельске,На минувшей неделе власти Архангельской области подписали соглашение о сотрудничестве с компанией Wildberries. Документ предусматривает в том числе строительство нового современного сортировочного центра «РВБ» в столице Поморья.,22.09.25 13:48,5330,/novosti/ekonomika/Krupnyj_sovremennyj_logisticheskij_centr_Wildberries_pojavitsja_v_Arhangelske/109029
Ростелеком и ИСП РАН создадут конвейеры безопасной разработки программных продуктов,"«Ростелеком» и Институт системного программирования им. В.П. Иванникова РАН подписали соглашение о сотрудничестве, направленном на создание инновационных решений в области разработки безопасного программного обеспечения (РБПО).",22.09.25 11:52,513,/novosti/ekonomika/Rostelekom_i_ISP_RAN_sozdadut_konvejery_bezopasnoj_razrabotki_programmnyh_produktov/109026
Предприниматели Архангельской области присоединятся к проекту «Платформа роста»,"Бренды производителей из Архангельской области скоро смогут выйти на новый уровень развития. Это касается не только российского, но и международного рынка. Всё благодаря «Платформе роста» от РВБ и АСИ.",19.09.25 12:30,1220,/novosti/ekonomika/Predprinimateli_Arhangelskoj_oblasti_prisoedinjatsja_k_proektu_Platforma_rosta_/109009
Билайн дарит новым клиентам «плана б.» 1 терабайт интернета,"А если много трафика не требуется, гигабайты можно обменять на бонусные рубли и оплачивать ими связь.",19.09.25 11:21,774,/novosti/ekonomika/Bilajn_darit_novym_klientam_plana_b_1_terabajt_interneta_/109007
Международный аэропорт в Архангельске обзавелся третьим телетрапом,"Сегодня в аэропорту Талаги состоялся официальный запуск в работу третьего по счету телескопического трапа, который будет обслуживать в том числе и международный терминал.",16.09.25 14:49,1647,/novosti/ekonomika/Mezhdunarodnyj_aeroport_v_Arhangelske_obzavelsja_tretim_teletrapom/108981
Около 40 миллиардов рублей выдано в Поморье в рамках Арктической ипотеки,"За неполные два года действия в регионе программы «Арктическая ипотека» жители Архангельской области оформили почти 9,5 тысяч льготных кредитов на общую сумму порядка 37,7 млрд рублей.",13.09.25 19:18,1312,/novosti/ekonomika/Okolo_40_milliardov_rublej_vydano_v_Pomore_v_ramkah_Arkticheskoj_ipoteki/108952
Сбер стал стратегическим партнером форума потребительской кооперации в Архангельске,"Международный форум потребительской кооперации «Сильные традиции – новые возможности» в эти дни проходит в Архангельске, мероприятия продлятся с 4 по 7 сентября.",05.09.25 08:31,1940,/novosti/ekonomika/Sber_stal_strategicheskim_partnerom_foruma_potrebitelskoj_kooperacii_v_Arhangelske/108868
В Архангельске стартовала деловая неделя для кооператоров со всей страны,"В столице Поморья сегодня торжественно открылся Международный форум потребительской кооперации. Четыре дня в городе будут обсуждать будущее кооперации, делиться опытом и знакомить жителей с продукцией со всей России.",04.09.25 12:34,2236,/novosti/ekonomika/V_Arhangelske_startovala_delovaja_nedelja_dlja_kooperatorov_so_vsej_strany/108861
Не пошло? Северяне гадают о причинах закрытия кафе «Золотица» в Архангельске,"После перезапуска в 2024 году рожденное еще в годы СССР популярное когда-то кафе в итоге проработало чуть больше года, неожиданно закрывшись в середине уходящего лета. О причинах произошедшего пока можно лишь догадываться.",30.08.25 14:55,6215,/novosti/ekonomika/Ne_poshlo_Severjane_gadajut_o_prichinah_zakrytija_kafe_Zolotica_v_Arhangelske/108818
Группа Аквилон приступает к комплексному строительству жилья на улице Комсомольской,"Это первая территория в Архангельске, на которой в рамках программы комплексной застройки земель за счет застройщика были полностью расселены аварийные и ветхие дома.",29.08.25 17:12,2786,/novosti/ekonomika/Gruppa_Akvilon_pristupaet_k_kompleksnomu_stroitelstvu_zhilja_na_ulice_Komsomolskoj/108809
Машины в обмен на сырье: второе китайское судно отправилось из Архангельска в КНР,"Из архангельского порта вышел очередной контейнеровоз, который по Севморпути доставит в КНР сырьевую продукцию местных предприятий. В Поморье судно пришло с многочисленными деталями для сборки китайских машин на заводе под Тулой.",29.08.25 12:30,2892,/novosti/ekonomika/Mashiny_v_obmen_na_syre_vtoroe_kitajskoe_sudno_otpravilos_iz_Arhangelska_v_KNR/108807
Архангельский порт — драйвер развития экономики региона,Сегодня губернатор Архангельской области Александр Цыбульский выступил с ежегодным посланием к областному Собранию депутатов. В нём он обозначил ключевые направления развития региона на ближайшие годы.,28.08.25 19:41,2714,/novosti/ekonomika/Arhangelskij_port_drajver_razvitija_ekonomiki_regiona/108798
Все рынки в гости к нам: Архангельск готовится к шумной уличной ярмарочной торговле,"С 4 по 8 сентября в Архангельске отшумит традиционная Маргаритинка. В эти же дни столица Поморья примет форум кооперации, также сулящий бойкую уличную торговлю. Мероприятия перекликаются, но пройдут на разных площадках.",28.08.25 18:02,4347,/novosti/ekonomika/Vse_rynki_v_gosti_k_nam_Arhangelsk_gotovitsja_k_shumnoj_ulichnoj_jarmarochnoj_torgovle/108795
В Архангельской области создадут лесопромышленный кластер,Александр Цыбульский объявил о создании в Архангельской области лесопромышленного кластера для перехода от экспорта сырья к глубокой переработке древесины.,28.08.25 14:17,4469,/novosti/ekonomika/V_Arhangelskoj_oblasti_sozdadut_lesopromyshlennyj_klaster/108793
Набитое автозапчастями судно из Китая прибыло в порт Архангельска,"В морской порт Архангельск прибыло второе судно из КНР, следовавшее по Севморпути в рамках мультимодального маршрута «Арктический экспресс № 1», доставив в столицу Поморья около 500 контейнеров с запчастями для машин.",28.08.25 10:25,2875,/novosti/ekonomika/Nabitoe_avtozapchastjami_sudno_iz_Kitaja_pribylo_v_port_Arhangelska/108783
Рост розничных цен на бензин в Архангельской области стал опережать инфляцию,"В России с начала года по середину августа средний рост розничных цен на бензин составил 5,74% — он опередил официальную инфляцию, которая за тот же период определена на уровне 4,16%. Поморье в этом плане — не исключение.",27.08.25 14:34,2852,/novosti/ekonomika/Rost_roznichnyh_cen_na_benzin_v_Arhangelskoj_oblasti_stal_operezhat_infljaciju/108779
Опрос Билайна: 90% клиентов уверены - нейросети помогают экономить в путешествиях,"Порядка 90 процентов опрошенных клиентов Билайна считают, что с помощью нейросетей можно снизить расходы в путешествиях.",27.08.25 14:23,2182,/novosti/ekonomika/Opros_Bilajna_90_klientov_uvereny_nejroseti_pomogajut_ekonomit_v_puteshestvijah/108769
Девелоперы средней руки завоевывают жилищный рынок Архангельска,"Несмотря на сложности, застройщики продолжают выводить новые объекты на рынок. Помимо ключевых игроков все более активную роль в этом деле играют компании средней руки, в активе которых числится пара-тройка квартирных проектов.",26.08.25 15:45,3170,/novosti/ekonomika/Developery_srednej_ruki_zavoevyvajut_zhilischnyj_rynok_Arhangelska/108766
У погрязшего в коррупции строительного союза в Архангельске сменилось руководство,"Новым руководителем «Союза профессиональных строителей» стал Роман Смирнов. Решение об этом было принято на внеочередном общем собрании членов регионального СРО, где правоохранители выявили массовые факты мздоимства.",26.08.25 13:55,3720,/novosti/ekonomika/U_pogrjazshego_v_korrupcii_stroitelnogo_sojuza_v_Arhangelske_smenilos_rukovodstvo/108763
Из Архангельска в Китай отправили первую партию леса,"Первое в эту навигацию судно, «Newnew Polar Bear», отправилось из Архангельска по мультимодальному маршруту «Арктический экспресс №1». Оно доставит экспортную продукцию лесоперерабатывающих предприятий в китайские порты.",20.08.25 13:08,3590,/novosti/ekonomika/Iz_Arhangelska_v_Kitaj_otpravili_pervuju_partiju_lesa/108704
Эксперты: каждый четвертый житель Поморья получает зарплату выше средней по стране,"Архангельская область заняла 33 место в рейтинге российских регионов по числу работников с высокими зарплатами. Как выяснили аналитики, лишь около четверти жителей Поморья получают доход выше среднего по стране.",18.08.25 12:06,4727,/novosti/ekonomika/Eksperty_kazhdyj_chetvertyj_zhitel_Pomorja_poluchaet_zarplatu_vyshe_srednej_po_strane/108680
Участок улицы Комсомольской в Архангельске ждет комплексное жилищное преображение,В Архангельске этой осенью начнется реализация крупного инвестпроекта на территории бывшего деревянного квартала вдоль улицы Комсомольской. В течение ближайших нескольких лет там появится современное жилье.,17.08.25 20:11,4326,/novosti/ekonomika/Uchastok_ulicy_Komsomolskoj_v_Arhangelske_zhdet_kompleksnoe_zhilischnoe_preobrazhenie/108674
Из Поднебесной в Архангельск прибыло первое в этом году судно с грузами на борту,"Первый в этом году рейс по логистическому маршруту «Арктический экспресс №1» завершился прибытием в Архангельск судна Newnew Polar Bear из Китая. На борту — почти 500 контейнеров с автозапчастями, ПВХ-пленкой и сталью.",15.08.25 17:35,4801,/novosti/ekonomika/Iz_Podnebesnoj_v_Arhangelsk_pribylo_pervoe_v_etom_godu_sudno_s_gruzami_na_bortu/108669
